Year,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Win
2014,Group C,Colombia,2,1,Ivoire,68748,1
2014,Group D,Uruguay,2,1,England,62575,1
2014,Group C,Japan,0,0,Greece,39485,0
2014,Group D,Italy,0,1,Costa Rica,40285,2
2014,Group E,Switzerland,2,5,France,51003,2
2014,Group E,Honduras,1,2,Ecuador,39224,2
2014,Group F,Argentina,1,0,IR Iran,57698,1
2014,Group G,Germany,2,2,Ghana,59621,0
2014,Group F,Nigeria,1,0,Bosnia and Herzegovina,40499,1
2014,Group H,Belgium,1,0,Russia,73819,1
2014,Group H,Korea Republic,2,4,Algeria,42732,2
2014,Group G,USA,2,2,Portugal,40123,0
2014,Group B,Australia,0,3,Spain,39375,2
2014,Group B,Netherlands,2,0,Chile,62996,1
2014,Group A,Cameroon,1,4,Brazil,69112,2
2014,Group A,Croatia,1,3,Mexico,41212,2
2014,Group D,Italy,0,1,Uruguay,39706,2
2014,Group D,Costa Rica,0,0,England,57823,0
2014,Group C,Japan,1,4,Colombia,40340,2
2014,Group C,Greece,2,1,Ivoire,59095,1
2014,Group F,Nigeria,2,3,Argentina,43285,2
2014,Group F,Bosnia and Herzegovina,3,1,IR Iran,48011,1
2014,Group E,Honduras,0,3,Switzerland,40322,2
2014,Group E,Ecuador,0,0,France,73749,0
2014,Group G,USA,0,1,Germany,41876,2
2014,Group G,Portugal,2,1,Ghana,67540,1
2014,Group H,Korea Republic,0,1,Belgium,61397,2
2014,Group H,Algeria,1,1,Russia,39311,0
2014,Round of 16,Brazil,1,1,Chile,57714,0
2014,Round of 16,Colombia,2,0,Uruguay,73804,1
2014,Round of 16,France,2,0,Nigeria,67882,1
2014,Round of 16,Germany,2,1,Algeria,,1
2014,finals,Brazil,2,1,Colombia,60342,1
2014,finals,France,0,1,Germany,74240,2
2014,finals,Brazil,1,7,Germany,58141,2
2014,Play-off for third place,Brazil,0,3,Netherlands,68034,2
2014,Final,Germany,1,0,Argentina,74738,1
2014,finals,Netherlands,0,0,Argentina,63267,0
2014,finals,Netherlands,0,0,Costa Rica,51179,0
2014,finals,Argentina,1,0,Belgium,68551,1
2014,Round of 16,Netherlands,2,1,Mexico,58817,1
2014,Round of 16,Costa Rica,1,1,Greece,41242,0
2014,Round of 16,Argentina,1,0,Switzerland,63255,1
2014,Round of 16,Belgium,2,1,USA,51227,1
2014,Round of 16,Brazil,1,1,Chile,57714,0
2014,Round of 16,Colombia,2,0,Uruguay,73804,1
2014,Round of 16,Netherlands,2,1,Mexico,58817,1
2014,Round of 16,Costa Rica,1,1,Greece,41242,0
2014,Round of 16,France,2,0,Nigeria,67882,1
2014,Round of 16,Germany,2,1,Algeria,,1
2014,Round of 16,Argentina,1,0,Switzerland,63255,1
2014,Round of 16,Belgium,2,1,USA,51227,1
2014,finals,France,0,1,Germany,74240,2
2014,finals,Brazil,2,1,Colombia,60342,1
2014,finals,Argentina,1,0,Belgium,68551,1
2014,finals,Netherlands,0,0,Costa Rica,51179,0
2014,finals,Brazil,1,7,Germany,58141,2
2014,finals,Netherlands,0,0,Argentina,63267,0
2014,Play-off for third place,Brazil,0,3,Netherlands,68034,2
2014,Final,Germany,1,0,Argentina,74738,1
